"Date","Price","Open","High","Low","Change %"
"Dec 10, 2009","8.373","8.373","8.373","8.373","0.17%"
"Dec 09, 2009","8.359","8.359","8.359","8.359","0.36%"
"Dec 08, 2009","8.329","8.329","8.329","8.329","-0.38%"
"Dec 07, 2009","8.361","8.361","8.361","8.361","-0.37%"
"Dec 04, 2009","8.392","8.392","8.392","8.392","0.38%"
"Dec 03, 2009","8.360","8.360","8.360","8.360","-0.31%"
"Dec 02, 2009","8.386","8.386","8.386","8.386","0.44%"
"Dec 01, 2009","8.349","8.349","8.349","8.349","0.86%"
"Nov 30, 2009","8.278","8.278","8.278","8.278","1.87%"
"Nov 25, 2009","8.126","8.126","8.126","8.126","0.01%"
"Nov 24, 2009","8.125","8.125","8.125","8.125","4.27%"
"Nov 23, 2009","7.792","7.792","7.792","7.792","2.47%"
"Nov 20, 2009","7.604","7.604","7.604","7.604","0.28%"
"Nov 19, 2009","7.583","7.583","7.583","7.583","-0.12%"
"Nov 18, 2009","7.592","7.592","7.592","7.592","0.38%"
"Nov 17, 2009","7.563","7.563","7.563","7.563","0.46%"
"Nov 16, 2009","7.528","7.528","7.528","7.528","0.95%"
"Nov 13, 2009","7.457","7.457","7.457","7.457","0.17%"
"Nov 12, 2009","7.444","7.444","7.444","7.444","-0.97%"
"Nov 11, 2009","7.517","7.517","7.517","7.517","0.00%"
"Nov 10, 2009","7.517","7.517","7.517","7.517","0.17%"
"Nov 09, 2009","7.504","7.504","7.504","7.504","0.37%"
"Nov 06, 2009","7.476","7.476","7.476","7.476","0.47%"
"Nov 05, 2009","7.441","7.441","7.441","7.441","0.16%"
"Nov 04, 2009","7.429","7.429","7.429","7.429","0.87%"
"Nov 03, 2009","7.365","7.365","7.365","7.365","-0.59%"
"Nov 02, 2009","7.409","7.409","7.409","7.409","-0.19%"
"Oct 30, 2009","7.423","7.423","7.423","7.423","0.57%"
"Oct 29, 2009","7.381","7.381","7.381","7.381","-0.32%"
"Oct 28, 2009","7.405","7.405","7.405","7.405","-0.47%"
"Oct 27, 2009","7.440","7.440","7.440","7.440","-0.11%"
"Oct 26, 2009","7.448","7.448","7.448","7.448","-0.11%"
"Oct 23, 2009","7.456","7.456","7.456","7.456","1.04%"
"Oct 22, 2009","7.379","7.379","7.379","7.379","-4.18%"
"Oct 21, 2009","7.701","7.701","7.701","7.701","-0.19%"
"Oct 20, 2009","7.716","7.716","7.716","7.716","0.47%"
"Oct 19, 2009","7.680","7.680","7.680","7.680","-1.39%"
"Oct 16, 2009","7.788","7.788","7.788","7.788","-2.22%"
"Oct 15, 2009","7.965","7.965","7.965","7.965","-3.70%"
"Oct 14, 2009","8.271","8.271","8.271","8.271","-1.87%"
"Oct 13, 2009","8.429","8.429","8.429","8.429","0.35%"
"Oct 12, 2009","8.400","8.400","8.400","8.400","-1.07%"
"Oct 09, 2009","8.491","8.491","8.491","8.491","0.35%"
"Oct 08, 2009","8.461","8.461","8.461","8.461","1.34%"
"Oct 07, 2009","8.349","8.349","8.349","8.349","-4.30%"
"Oct 06, 2009","8.724","8.724","8.724","8.724","-2.62%"
"Oct 05, 2009","8.959","8.959","8.959","8.959","-1.22%"
"Oct 02, 2009","9.070","9.070","9.070","9.070","0.07%"
"Sep 30, 2009","9.064","9.064","9.064","9.064","1.15%"
"Sep 29, 2009","8.961","8.961","8.961","8.961","-0.44%"
"Sep 28, 2009","9.001","9.001","9.001","9.001","0.70%"
"Sep 25, 2009","8.938","8.938","8.938","8.938","-0.79%"
"Sep 24, 2009","9.009","9.009","9.009","9.009","0.51%"
"Sep 23, 2009","8.963","8.963","8.963","8.963","-0.36%"
"Sep 17, 2009","8.995","8.995","8.995","8.995","0.16%"
"Sep 16, 2009","8.981","8.981","8.981","8.981","0.27%"
"Sep 15, 2009","8.957","8.957","8.957","8.957","0.61%"
"Sep 14, 2009","8.903","8.903","8.903","8.903","0.26%"
"Sep 11, 2009","8.880","8.880","8.880","8.880","-1.05%"
"Sep 10, 2009","8.974","8.974","8.974","8.974","0.43%"
"Sep 09, 2009","8.936","8.936","8.936","8.936","-0.52%"
"Sep 08, 2009","8.983","8.983","8.983","8.983","0.26%"
"Sep 07, 2009","8.960","8.960","8.960","8.960","-0.36%"
"Sep 04, 2009","8.992","8.992","8.992","8.992","0.62%"
"Sep 03, 2009","8.937","8.937","8.937","8.937","-1.05%"
"Sep 02, 2009","9.032","9.032","9.032","9.032","-0.01%"
"Sep 01, 2009","9.033","9.033","9.033","9.033","-2.07%"
"Aug 31, 2009","9.224","9.224","9.224","9.224","-0.35%"
"Aug 28, 2009","9.256","9.256","9.256","9.256","-0.43%"
"Aug 27, 2009","9.296","9.296","9.296","9.296","-0.18%"
"Aug 26, 2009","9.313","9.313","9.313","9.313","-0.09%"
"Aug 25, 2009","9.321","9.321","9.321","9.321","-0.69%"
"Aug 24, 2009","9.386","9.386","9.386","9.386","-2.38%"
"Aug 21, 2009","9.615","9.615","9.615","9.615","-0.34%"
"Aug 20, 2009","9.648","9.648","9.648","9.648","-1.86%"
"Aug 19, 2009","9.831","9.831","9.831","9.831","-0.43%"
"Aug 18, 2009","9.873","9.873","9.873","9.873","0.00%"
"Aug 17, 2009","9.873","9.873","9.873","9.873","-0.17%"
"Aug 14, 2009","9.890","9.890","9.890","9.890","-0.25%"
"Aug 13, 2009","9.915","9.915","9.915","9.915","0.24%"
"Aug 12, 2009","9.891","9.891","9.891","9.891","-0.25%"
"Aug 11, 2009","9.916","9.916","9.916","9.916","0.25%"
"Aug 10, 2009","9.891","9.891","9.891","9.891","-0.09%"
"Aug 07, 2009","9.900","9.900","9.900","9.900","0.00%"
"Aug 06, 2009","9.900","9.900","9.900","9.900","-0.25%"
"Aug 05, 2009","9.925","9.925","9.925","9.925","-0.34%"
"Aug 04, 2009","9.959","9.959","9.959","9.959","0.16%"
"Aug 03, 2009","9.943","9.943","9.943","9.943","0.09%"
"Jul 31, 2009","9.934","9.934","9.934","9.934","0.41%"
"Jul 30, 2009","9.893","9.893","9.893","9.893","0.08%"
"Jul 29, 2009","9.885","9.885","9.885","9.885","0.43%"
"Jul 28, 2009","9.843","9.843","9.843","9.843","-0.09%"
"Jul 27, 2009","9.852","9.852","9.852","9.852","2.05%"
"Jul 24, 2009","9.654","9.654","9.654","9.654","-2.18%"
"Jul 23, 2009","9.869","9.869","9.869","9.869","0.76%"
"Jul 22, 2009","9.795","9.795","9.795","9.795","0.60%"
"Jul 21, 2009","9.737","9.737","9.737","9.737","-0.51%"
"Jul 20, 2009","9.787","9.787","9.787","9.787","0.50%"
"Jul 17, 2009","9.738","9.738","9.738","9.738","0.00%"
"Jul 16, 2009","9.738","9.738","9.738","9.738","-0.17%"
"Jul 15, 2009","9.755","9.755","9.755","9.755","1.01%"
"Jul 14, 2009","9.657","9.657","9.657","9.657","-13.36%"
"Jul 13, 2009","11.146","11.146","11.146","11.146","13.10%"
"Jul 10, 2009","9.855","9.855","9.855","9.855","-12.02%"
"Jul 09, 2009","11.201","11.201","11.201","11.201","9.53%"
"Jul 08, 2009","10.226","10.226","10.226","10.226","-3.44%"
"Jul 06, 2009","10.590","10.590","10.590","10.590","-1.89%"
"Jul 03, 2009","10.794","10.794","10.794","10.794","-0.41%"
"Jul 02, 2009","10.838","10.838","10.838","10.838","-0.33%"
"Jul 01, 2009","10.874","10.874","10.874","10.874","-1.88%"
"Jun 30, 2009","11.082","11.082","11.082","11.082","-0.24%"
"Jun 29, 2009","11.109","11.109","11.109","11.109","-0.33%"
"Jun 25, 2009","11.146","11.146","11.146","11.146","-0.33%"
"Jun 24, 2009","11.183","11.183","11.183","11.183","-0.16%"
"Jun 23, 2009","11.201","11.201","11.201","11.201","0.08%"
"Jun 22, 2009","11.192","11.192","11.192","11.192","-0.08%"
"Jun 19, 2009","11.201","11.201","11.201","11.201","0.24%"
"Jun 18, 2009","11.174","11.174","11.174","11.174","-0.24%"
"Jun 17, 2009","11.201","11.201","11.201","11.201","-0.16%"
"Jun 16, 2009","11.219","11.219","11.219","11.219","-0.17%"
"Jun 15, 2009","11.238","11.238","11.238","11.238","0.33%"
"Jun 12, 2009","11.201","11.201","11.201","11.201","-0.16%"
"Jun 11, 2009","11.219","11.219","11.219","11.219","-0.01%"
"Jun 10, 2009","11.220","11.220","11.220","11.220","-0.16%"
"Jun 09, 2009","11.238","11.238","11.238","11.238","0.16%"
"Jun 08, 2009","11.220","11.220","11.220","11.220","0.17%"
"Jun 05, 2009","11.201","11.201","11.201","11.201","-0.81%"
"Jun 04, 2009","11.293","11.293","11.293","11.293","-0.08%"
"Jun 03, 2009","11.302","11.302","11.302","11.302","0.40%"
"Jun 02, 2009","11.257","11.257","11.257","11.257","-0.32%"
"Jun 01, 2009","11.293","11.293","11.293","11.293","-0.24%"
"May 25, 2009","11.320","11.320","11.320","11.320","0.16%"
"May 22, 2009","11.302","11.302","11.302","11.302","-0.24%"
"May 21, 2009","11.329","11.329","11.329","11.329","0.09%"
"May 20, 2009","11.319","11.319","11.319","11.319","-0.08%"
"May 19, 2009","11.328","11.328","11.328","11.328","0.17%"
"May 15, 2009","11.309","11.309","11.309","11.309","0.00%"
"May 14, 2009","11.309","11.309","11.309","11.309","0.09%"
"May 13, 2009","11.299","11.299","11.299","11.299","1.40%"
"May 08, 2009","11.143","11.143","11.143","11.143","-0.81%"
"May 07, 2009","11.234","11.234","11.234","11.234","-1.92%"
"May 06, 2009","11.454","11.454","11.454","11.454","1.14%"
"May 05, 2009","11.325","11.325","11.325","11.325","66.99%"
"May 04, 2009","6.782","6.782","6.782","6.782","-40.78%"
"Apr 30, 2009","11.453","11.453","11.453","11.453","69.42%"
"Apr 29, 2009","6.760","6.760","6.760","6.760","0.93%"
"Apr 27, 2009","6.698","6.698","6.698","6.698","-42.47%"
"Apr 02, 2009","11.642","11.642","11.642","11.642","0.01%"
"Apr 01, 2009","11.641","11.641","11.641","11.641","0.92%"
"Mar 12, 2009","11.535","11.535","11.535","11.535","0.41%"
"Mar 05, 2009","11.488","11.488","11.488","11.488","-5.18%"
"Feb 18, 2009","12.116","12.116","12.116","12.116","0.08%"
"Feb 17, 2009","12.106","12.106","12.106","12.106","-0.08%"
"Feb 16, 2009","12.116","12.116","12.116","12.116","-0.16%"
"Feb 13, 2009","12.135","12.135","12.135","12.135","0.01%"
"Feb 12, 2009","12.134","12.134","12.134","12.134","0.40%"
"Feb 11, 2009","12.086","12.086","12.086","12.086","0.24%"
"Feb 10, 2009","12.057","12.057","12.057","12.057","0.08%"
"Feb 09, 2009","12.047","12.047","12.047","12.047","-0.16%"
"Feb 05, 2009","12.066","12.066","12.066","12.066","0.20%"
"Feb 04, 2009","12.042","12.042","12.042","12.042","-0.35%"
"Feb 03, 2009","12.084","12.084","12.084","12.084","0.08%"
"Feb 02, 2009","12.074","12.074","12.074","12.074","-0.48%"
"Jan 30, 2009","12.132","12.132","12.132","12.132","0.17%"
